Query	UserId	ChatsNum	BotAnswersNum	HelpsNum	Len	week
Добрый день. Купили автотранспортное средство, которое в учете мне нужно разделить при принятии к учету на несколько инвентарных объектов. В договоре цена указана за полное основное средство, как мне определить стоимость этих инвентарных объектов?	15197720	1	0	0	34	42
налоговая нагрузка	703590	1	1	1	2	42
Добрый день, приняли работника, в трудовой стаж в районах крайнего севера 3 года, т.е северная надбавка = 60%, Новый сотрудник с прежнего места работы принес справку с муниципального предприятия где было	9680708	1	0	0	31	42
Спасибо!	332546	1	1	1	1	42
Добрый день. Налоговая отказала в принятие корректирующих отчетов за прошлые года, ссылаясь на срок давности. Вопрос могла ли налоговая отказать или она должна их все таки принять?	2816201	1	0	0	27	42
Здравствуйте. Подскажите, пжл., можно ли предоставить выходные оплачиваемые дни по уходу за ребенком инвалидом и по основному менсту и по внещшнему совместительству.	5780252	1	0	0	22	42
Добрый день! Есть ли ограничения по реализации воды? Т.е. наша компания имеет скважину на участке (лицензия есть). Участок сдается в аренду, соответственно, арендатор пользуется водой со скважины, и мы выставляем ему услуги по подъему и обеспечение водой.	20398017	1	0	0	37	42
Добрый день. Подскажите Администрации поселка было передано транспортное средство как имущество казны. Данное транспортное средство облагается транспортным налогом? Если это транспортное средства передается в хозяйственное ведение другой организации, платится ли транспортный налог и кем?	5508779	1	0	0	34	42
Добрый день. МСП, при прохождении по численности, но превышении по доходу, меняется ли статус?	4272779	1	0	0	14	42
Здравствуйте, сотрудница была в отпуске по уходу за ребенком до 1,5 лет после этого выходила на работу на 9 месяцев, далее написала заявление по уходу за ребенком до 3 лет, во время отпуска написала заявление на увольнение , как правильно рассчитать и сделать выплату при увольнении ?	671799	1	0	0	47	42
здравствуйте	1953790	1	1	0	1	42
Здравствуйте, можно ли работать юр лицу с самозанятым без договора по актам и счетам	20653610	1	0	0	14	42
Доброе утро! Берем ли в расходы по налогу на прибыль компенсацию матерям по уходу за ребенком до 3-х лет?	20576240	1	0	0	19	42
уведомление енп	283892	1	1	1	2	42
Добрый день.	639358	1	1	0	2	42
добрый день	3225052	1	1	0	2	42
Здравствуйте!	1736214	1	1	1	1	42
Выдаем возвратный займ сотруднику, какой банковский символ ставить при перечислении	1537076	1	0	0	10	42
Добрый день. Реквизиты для оплаты по травматизму изменились с 01.10.23 г. ?	19163341	1	0	0	12	42
Здравсвуйте, УПД является актом выполненных работ или нет?	1584903	1	0	0	8	42
Доброе утро, оформление допотпуска на санаторно-курортное лечение?	2855446	1	0	0	7	42
Добрый день. Проценты всех налогов с з/п	12667839	1	0	0	7	42
здравствуйте, можно новые реквизиты для уплаты взносов	3056243	1	0	0	7	42
уведомление енп	3585434	1	1	1	2	42
добрый день, если в уставе предприятия предусмотрен определенный вид деятельности (не основной), а в фнс он не внесен, при этом компания не разу не заключала договора по данному виду деятельности. Какие возникают риски у компании?	18889845	1	0	0	35	42
Доброе утро,можно ли учесть вычет по ИП в 3 квартале 2023года,а оплатить его в 4 квартале	1862112	1	0	0	16	42
Добрый день. Нужно ли сдавать нулевой отчет по персонифицированным сведениям в 2023 году в НКО без сотрудников. Один председатель правления, не оформлен	1951569	1	0	0	22	42
"Добрый день! Подскажите пожалуйста, мы торговая компания на ОСНО, занимаемся продажей металлопроката, в 3 квартале 2023 г. часть неликвидного металлопроката сдали в металлолом. в счет-фактуре указали "" НДС исчисляется налоговым агентом"". Вопрос, в декларации по НДС и декларации по налогу на прибыль как мне это отразить?"	6946613	1	0	0	46	42
налоговая нагрузка	4576026	1	1	1	2	42
Добрый день! Подскажите, попадает ли во второй раздел 6-НДФЛ за 9мес 2023 аванс за октябрь, выплаченный 27 сентября	19577152	1	0	0	18	42
"Добрый день! От имени собственника, на правах оперативного управления муниципального имущества городского поселения р.п Переяславка выступает Муниципальное бюджетное учреждение культуры и спорта "" Гармония"" предоставляет арендодателю (ООО) во временное пользование объект нежилого фонда-част здания в сумме 50000 руб. Вопрос: Является ли ООО налоговым агентом? ООО должно сдавать НД по НДС?"	601806	1	0	0	50	42
